step,loss,acc_top1,acc_top5,learning_rate
47500,0.6684941649436951,85.15625,92.1875,0.0002999981147049904
47600,0.7073936462402344,85.546875,93.359375,0.0002999981147049904
47700,0.598972499370575,87.890625,97.65625,0.0002999981147049904
47800,0.7116919755935669,83.984375,92.96875,0.0002999981147049904
47900,0.6071872711181641,83.59375,94.140625,0.0002999981147049904
48000,0.7388722896575928,89.453125,91.796875,0.0002999981147049904
48100,0.6045711636543274,86.328125,94.140625,0.0002999981147049904
48200,0.5198225975036621,91.40625,94.140625,0.0002999981147049904
48300,0.6014015078544617,85.15625,95.3125,0.0002999981147049904
48400,0.5382959246635437,89.0625,96.09375,0.0002999981147049904
48500,0.4897475838661194,87.890625,97.65625,0.0002999981147049904
48600,0.629876971244812,85.9375,94.140625,0.0002999981147049904
48700,0.6964271068572998,82.8125,92.578125,0.0002999981147049904
48800,0.4261106550693512,91.796875,96.09375,0.0002999981147049904
48900,0.650250256061554,85.15625,92.96875,0.0002999981147049904
49000,0.677314817905426,84.375,93.75,0.0002999981147049904
49100,0.6738818287849426,85.9375,92.96875,0.0002999981147049904
49200,0.6447558403015137,86.71875,94.140625,0.0002999981147049904
49300,0.6816593408584595,85.15625,93.359375,0.0002999981147049904
